,Unnamed: 0,Feeder_Category,CABLE_SIZE,No_of_times_exceeded_60_,LENGTH_OF_CABLE_MTRS_,NO__OF_JOINTS,AGE_YRS_,PILC,XLPE,DATE_ONLY,Average_Current,Peak_Current,Average_voltage,Peak_Voltage,target,Avg_Heat_Index,Peak_HI,Avg_humidity,Max_Humidity,Avg_TEMP,Max_TEMP,New_Summer,New_Monsoon,New_Winter,Feeder,Switch,Section Id,Pathid,Lat,Long,Feeder_Switch_ID_V1,Customer At Risk,Fee_Sw_Refe_ID
39,39,0,1,7,2487.0,18.0,12.0,0,1,04-06-2016,104.5417708,266.79,10.9721875,11.26,1,43.22014764,48.4327468,82.18479167,87.58,31.46760417,34.25,1,0,0,30462,10501,10501-7990-2,BhendiBazaar,19.34782293,74.4000763,30462_10501_40,29,30850_11936_244
40,40,2,1,7,365.0,1.0,12.0,0,1,05-06-2016,156.0,214.36,11.04375,11.32,1,42.42151359,46.71351356,83.26395833,89.84,31.12270833,33.5,1,0,0,30462,10501,10501-7990-2,NullBazar,19.03038995,73.87653764,30462_10501_41,27,30462_10501_50
41,41,1,2,0,1253.0,16.0,22.75098814229249,1,1,05-06-2016,1.44375,1.45,11.01583333,11.24,0,42.42151359,46.71351356,83.26395833,89.84,31.12270833,33.5,1,0,0,30462,10501,10501-7990-2,Pydhonie,19.68016026,73.18248445,30462_10501_42,42,30462_10501_50
42,42,0,0,7,640.0,10.0,18.0,1,0,09-06-2016,21.2590625,207.04,11.07145833,11.37,1,44.03069333,49.92312273,82.17114583,88.0,31.69385417,34.27,1,0,0,30462,10501,10501-7990-2,ChippiChawl,18.6392762,74.21952089,30462_10501_43,30,30462_10501_50
43,43,1,1,0,533.7,7.0,21.0,1,0,09-06-2016,12.66104167,110.26,11.06885417,11.37,1,44.03069333,49.92312273,82.17114583,88.0,31.69385417,34.27,1,0,0,30462,10501,10501-7990-2,MasjidBandarEast,19.23750019,73.4327178,30462_10501_44,46,30462_10501_50
44,44,0,0,7,1605.7,18.0,21.0,1,0,10-06-2016,27.98895833,185.06,11.0871875,11.42,1,44.55958364,49.40772716,83.21322917,88.49,31.71197917,33.97,1,0,0,30462,10501,10501-7990-2,MasjidBandarWest,18.38285566,74.27204995,30462_10501_45,39,30462_10501_50
45,45,0,1,7,1040.0,8.0,12.0,0,1,10-06-2016,145.2055208,206.59,10.65770833,11.09,0,44.55958364,49.40772716,83.21322917,88.49,31.71197917,33.97,1,0,0,30462,10501,10501-7990-7,Thakurdwar,20.19613893,73.27590386,30462_10501_46,50,30462_10501_50
46,46,0,1,0,2487.0,3.0,6.0,0,1,19-06-2016,75.19625,170.61,10.95260417,11.19,1,39.02452872,43.97388594,88.554375,97.38,29.68166667,31.67,1,0,0,30462,10501,10501-7990-9,ChorBazaar,19.07048476,74.77899847,30462_10501_47,37,30850_11936_244
47,47,0,0,0,760.0,2.0,16.0,1,1,23-06-2016,29.29604167,70.72,11.088125,11.3,1,33.78643798,40.9906267,93.73708333,100.0,27.86083333,30.9,1,0,0,30462,10501,10501-7990-2,ShapurBaug,18.31338098,74.69597052,30462_10501_48,48,30850_11936_244
48,48,0,0,2,933.8,10.0,20.0,1,1,24-06-2016,29.636875,144.38,11.00770833,11.3,1,32.62931506,42.41436965,95.79291667,100.0,27.39083333,30.79,1,0,0,30462,10501,10501-7990-2,Khetwadi,20.10586196,74.20423818,30462_10501_49,28,30850_11936_244
